QUESTIONS,ANSWERS
"Almost everyone needs it, asks for it, gives it. But almost nobody takes it.",advice
What goes up but never comes down?,age
"Die without me, never thank me. Walk right through me, never feel me. Always watching, never speaking. Always lurking, never seen.",air
"I cost no money to use, or conscious effort to take part of. And as far as you can see, there is nothing to me. But without me, you are dead.",air
"Today he is there to trip you up. And he will torture you tomorrow. Yet he is also there to ease the pain, when you are lost in grief and sorrow.",alcohol
Come up and let us go. Go down and here we stay.,anchor
What do you throw out to use and take in when you're done?,anchor
"I'm very tempting, so its said, I have a shiny coat of red, and my flesh is white beneath. I smell so sweet, taste good to eat, and help to guard your teeth.",apple
"I fly through the air on small feathered wings, seeking out life and destroying all things.",arrow
"I have many feathers to help me fly. I have a body and head, but I'm not alive. It is your strength which determines how far I go. You can hold me in your hand, but I'm never thrown.",arrow
"I can be moved. I can be rolled. But nothing will I hold. I'm red and I'm blue, and I can be other colors too. Having no head, though similar in shape. I have no eyes - yet move all over the place.",ball
"A time when they're green. A time when they're brown. But both of these times, cause me to frown. But just in between, for a very short while. They're perfect and yellow. And cause me to smile.",bananas
"My first is in blood and also in battle. My second is in acorn, oak, and apple. My third and fourth are both the same. In the center of sorrow and twice in refrain. My fifth starts eternity ending here. My last is the first of last, Oh Dear.",barrel
"I sleep by day, I fly by night. I have no feathers to aid my flight.",bat
"When I’m metal or wood, I help you get home. When I’m flesh and I’m blood, In the darkness I roam.",bat
I am the yellow hem of the sea's blue skirt.,beach
"In the night a mountain, in the morning a meadow.",bed
"What is it that has four legs, one head, and a foot?",bed
"A warrior amongst the flowers, he bears a thrusting sword. He uses it whenever he must, to defend his golden hoard.",bee
"Thousands lay up gold within this house. But no man made it. Spears past counting guard this house, but no man wards it.",beehive
"Round as a button, deep as a well. If you want me to talk, you must first pull my tail.",bell
"You heart it speak, for it has a hard tongue. But it cannot breathe, for it has not a lung.",bell
"I am a fire's best friend. When fat, my body fills with wind. When pushed to thin, through my nose I blow. Then you can watch the embers glow.",bellows
"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.",birthday
"I am seen in the water. If seen in the sky, I am in the rainbow, a jay's feather, and lapis lazuli.",blue
"My life is often a volume of grief, your help is needed to turn a new leaf. Stiff is my spine and my body is pale. But I'm always ready to tell a tale.",book
"Turns us on our backs, and open up our stomachs. You will be the wisest of men though at start a lummox.",books
"I heard of a wonder, of words moth-eaten. That is a strange thing, I thought, weird. That a man's song be swallowed by a worm. His blinded sentences, his bedside stand-by rustled in the night - and the robber-guest. Not one wit the wiser. For the words he had mumbled.",bookworm
"Two brothers we are, great burdens we bear. All day we are bitterly pressed. Yet this I will say, we are full all the day, and empty when go to rest.",boots
